Наименование услуги,Описание,Цена
Мехенди,Временный рисунок на теле хной,900
Коррекция и окрашивание бровей,"Изменение формы нитью, пинцетом, воском и цвета с помощью красок или хны",1900
Перманентный макияж,"Введение пигмента в верхние слои кожи для создания стойкого рисунка на лице, имитирующего макияж, воском и цвета с помощью красок или хны",2900
Визаж,"Дневной, вечерний, деловой",1500
Наращивание ресниц,"По различным техникам с применением норковых, шелковых или ресниц из соболя",2000
Мезотерапия,"Безоперационный метод борьбы со старением кожи. С его помощью избавитесь от мимических морщинок вокруг глаз, губ, носа и предотвратите дальнейшее старение кожи.",4900
Коралловый пилинг,"Данное мероприятие, является хорошей альтернативой химическим пилингам, но проводимый на основе натуральных компонент.",2900
Ультразвуковая чистка лица,"Востребованная процедур среди молодых девушек и парней. Предусматривает поверхностное очищение кожного покрова лица от токсинов, шлаков, закупорок сальных желез и кожного сала, оседающего в клетках эпидермиса.",2500
Озонотерапия,"Инновационный метод борьбы со многими патологиями, которые появляются из-за неправильного питания, нарушения режима сна.",2700
Ламинирование ресниц,"Создается эффект накрашенных и подкрученных ресничек, но при этом нет негативного воздействия на собственные волоски и веки.",1900
Афро кудри,"Это мелкие завитые локоны, которые плотно прилегают друг к другу и получается плотный и стойкий объем у волос.",1490
Рельефное окрашивание волос,"Техника колорирования волос, включающую в себя использование нескольких оттенков.",4900
Шатуш волос,"Один из многочисленных видов сложного окрашивания и колорирования волос. В отличие от французского «балаяж», шатуш относят к итальянскому происхождению.",6900
Балаяж окрашивание,"Слово «balayage» имеет французское происхождение, переводится как «подметание». Технология балаяж, при которой краска наносится так, чтобы создать плавный и естественный переход цвета. В балаяже делают переход цвета естественным, как перелив солнечного света.",5900
Кератиновое выпрямление волос,"Это популярный способ смены имиджа и распрямит надоевшие кудряшки. Кератин помогает придать волосам эластичности и упругости с помощью дисульфидных связей, с которыми происходит соединение кератина.",2490
